str,slowo
arse,arse
ass,ass
asshole,asshole
bastard,bastard
bitch,bitch
bollocks,bollocks
crap,crap
cunt,cunt
damn,damn
frigger,frigger
fuck,fuck
goddamn,goddamn
godsdamn,godsdamn
hell,hell
motherfucker,motherfucker
nigga,nigga
nigger,nigger
shit,shit
shitass,shitass
twat,twat
